	Origin	Destination	ShortName	TimeRetr	Route	Dist	CurrentTime	TimeRange	url	nDist	nTime
152	6	26	TRI	2015-08-13 15:58:03.927864	I-294 S and I-80 E	65.2 miles	1 h 11 min	1 h 3 min - 1 h 30 min	https://www.google.com/maps/dir/Freedom+Dr,+Naperville,+IL+60563/41.5881995,-87.1836656/@41.5919292,-87.6628938,12.5z/data=!4m14!4m13!1m10!1m1!1s0x880e56f4ab140e3f:0xa2bceb0e6426ab4d!2m2!1d-88.1257984!2d41.8047989!3m4!1m2!1d-87.6802413!2d41.5827598!3s0x880e22a3d5534da5:0x7bac4d26791d66d8!1m0!3e0	65.2	71
25	8	20	BF	2015-08-13 15:56:51.566564	S Stony Island Ave and I-94 E	8.5 miles	19 min	15 - 26 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/41.658386,+-87.559140/@41.6976339,-87.6187709,10889m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.5912248!2d41.7035822!3s0x880e265afb2f82df:0xed8f2224e43eaeed!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	8.5	19
56	8	20	Sky	2015-08-13 15:57:09.079166	I-90 E and S Torrence Ave	10.5 miles	26 min	22 - 30 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/41.658386,+-87.559140/@41.7434454,-87.5981787,5433m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.588416!2d41.7515664!3s0x880e289263c48c93:0x9e9881ae5404b94!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	10.5	26
88	8	21	BF	2015-08-13 15:57:26.872983	I-94 E	25.9 miles	38 min	32 - 48 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6003097,-87.4860829,36640m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.5785909!2d41.6414008!3s0x880e20d8ae494f1f:0xe04c790bc9eb5adc!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	25.9	38
95	8	21	Sky	2015-08-13 15:57:31.115344	I-90 E	23.0 miles	35 min	32 - 42 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6675972,-87.6155042,21773m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.5216667!2d41.6724304!3s0x8811d8bfb090161f:0xcba9d526f8b583c3!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	23.0	35
145	8	22	BF	2015-08-13 15:57:59.733620	I-94 E	28.0 miles	42 min	35 - 53 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.5691663,-87.4895651,21793m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.5733568!2d41.5771331!3s0x880e20298df22b51:0x5d5b1cfadee4c6d0!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!2m1!2b1!3e0	28.0	42
147	8	22	Sky	2015-08-13 15:58:00.815293	I-90 E	20.8 miles	28 min	26 - 34 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6573445,-87.5382707,21792m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.5195519!2d41.6664459!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	20.8	28
21	8	23	BF	2015-08-13 15:56:49.237566	I-94 E	14.5 miles	35 min	29 - 43 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6525389,-87.5719017,18352m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.6017754!2d41.67878!3s0x880e2694642c1e75:0xd7c6cc03f9f69b96!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0	14.5	35
36	8	23	Sky	2015-08-13 15:56:57.619090	I-90 E	13.8 miles	27 min	24 - 31 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.669124,-87.5165627,21779m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.5202782!2d41.6685021!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0	13.8	27
76	8	24	BF	2015-08-13 15:57:20.165706	I-94 E	35.4 miles	59 min	51 min - 1 h 11 min	https://www.google.com/maps/dir/875+E+87th+St,+Chicago,+IL+60619/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5082181,-87.5354732,30844m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e28a08ee8fa79:0xbbb3cf56caa61ee8!2m2!1d-87.60178!2d41.736518!3m4!1m2!1d-87.5822724!2d41.5764263!3s0x880e21d589ede51b:0x929e14f726562377!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	35.4	59
