	Origin	Destination	ShortName	TimeRetr	Route	Dist	CurrentTime	TimeRange	url	nDist	nTime
4	1	20	BF_DR	2015-08-13 15:56:39.742023	I-94 Express E and I-94 E	19.3 miles	33 min	23 - 48 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/41.658386,+-87.559140/@41.7288158,-87.6316115,9150m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.6205962!2d41.7134918!3s0x880e267580b00071:0xb24b6ab1f9e7db25!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	19.3	33
22	1	20	Sky	2015-08-13 15:56:49.792694	I-90 E	17.9 miles	35 min	27 - 46 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/41.658386,+-87.559140/@41.634653,-87.5369446,30751m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5973557!2d41.7580106!3s0x880e28ea5e2fd8a3:0xd7bc1e2354b6c623!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	17.9	35
40	1	20	LS	2015-08-13 15:56:59.863072	US-41 S and S Torrence Ave	16.1 miles	35 min	31 - 42 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/41.658386,+-87.559140/@41.74826,-87.5629275,2288m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5662692!2d41.7538237!3s0x880e2869d0ebc8a9:0x353d4a64efc0dfe2!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!2m1!1b1!3e0	16.1	35
85	1	21	LS	2015-08-13 15:57:25.379698	US-41 S and I-90 E	31.8 miles	58 min	53 min - 1 h 11 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6764132,-87.4918223,10894m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5414215!2d41.7274896!3s0x880e27f8fa97f937:0xeeef6d39d159c414!3m4!1m2!1d-87.5085316!2d41.68693!3s0x8811d8fa42e0f29f:0x1d6452cd8e4a360!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	31.8	58
118	1	21	BF_DR	2015-08-13 15:57:44.793056	I-94 E	36.8 miles	52 min	40 min - 1 h 11 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.7133749,-87.5948031,10900m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5928117!2d41.7025615!3s0x880e265b77c47ec7:0xbfe801e794ffcf1e!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	36.8	52
135	1	21	Sky	2015-08-13 15:57:54.305403	I-90 E	32.5 miles	48 min	39 min - 1 h 1 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6450106,-87.3940989,30802m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5218899!2d41.6730745!3s0x8811d8bfd249459f:0x4a0c9f600c0f8f03!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	32.5	48
9	1	22	LS	2015-08-13 15:56:42.563164	US-41 S	29.6 miles	1 h 1 min	55 min - 1 h 12 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6137291,-87.4909993,15407m/data=!3m1!1e3!4m29!4m28!1m20!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.540285!2d41.7332424!3s0x880e27ff9277de7f:0x7d0a48378c03e2d3!3m4!1m2!1d-87.5086225!2d41.6666688!3s0x8811d8daea9725c7:0x188c31d4a227606c!3m4!1m2!1d-87.433747!2d41.6384644!3s0x8811dc6ec146d873:0x5b0f756e8b5c0596!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	29.6	61
23	1	22	BF_DR	2015-08-13 15:56:50.377048	I-80 W/I-94 W and I-94 W	41.1 miles	50 min	44 min - 1 h 3 min	https://www.google.com/maps/dir/598+E+Dunes+Hwy,+Gary,+IN+46402/347+E+Balbo+Ave,+Chicago,+IL+60605/@41.6296208,-87.553508,18415m/am=t/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3m4!1m2!1d-87.5830917!2d41.6040481!3s0x880e21b3cf205f3d:0x34f74d26c8c045ca!1m5!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!2m1!2b1!3e0	41.1	50
80	1	22	Sky	2015-08-13 15:57:22.651416	I-90 E	30.3 miles	41 min	33 - 53 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.7183623,-87.6285313,43560m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5212908!2d41.671367!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	30.3	41
43	1	23	Sky	2015-08-13 15:57:01.439844	I-90 E	23.7 miles	43 min	34 - 55 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7007728,-87.5396113,21747m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5275249!2d41.7057664!3s0x8811d86fa1c5a6b1:0xb969c47b14cd3f23!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0	23.7	43
81	1	23	BF_DR	2015-08-13 15:57:23.165727	I-94 E	25.3 miles	49 min	37 min - 1 h 7 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6258035,-87.5629628,15388m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5908895!2d41.6622953!3s0x880e26ce69ded745:0x1a62515ef573822b!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0	25.3	49
114	1	23	LS	2015-08-13 15:57:42.167626	US-41 S	20.7 miles	47 min	41 - 57 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7251733,-87.5758964,12955m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5411493!2d41.7273333!3s0x880e27f8fa97f937:0xeeef6d39d159c414!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0	20.7	47
75	1	24	BF_DR	2015-08-13 15:57:19.591640	I-94 E	46.2 miles	1 h 13 min	59 min - 1 h 34 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6108973,-87.5853252,30829m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5831618!2d41.5499012!3s0x880e1f0b70af4f9b:0x55c8c29d6dbd448c!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	46.2	73
92	1	24	Sky	2015-08-13 15:57:29.481310	I-90 E and I-65 S	55.7 miles	1 h 12 min	1 h 4 min - 1 h 27 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6964373,-87.6194688,18348m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5422624!2d41.7173821!3s0x880e27f5aab3504d:0x98e573beb5c56887!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	55.7	72
151	1	24	LS	2015-08-13 15:58:03.481098	US-41 S	43.5 miles	1 h 32 min	1 h 24 min - 1 h 50 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5348967,-87.5221127,61769m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5380925!2d41.7262429!3s0x8811d807bcdf21e3:0x680a8e1bca86fda9!3m4!1m2!1d-87.4696152!2d41.651274!3s0x8811dead7f1d055f:0x6ab3164aa028d04!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	43.5	92
20	1	25	BF_DR	2015-08-13 15:56:48.564607	I-94 E	67.5 miles	1 h 24 min	1 h 10 min - 1 h 44 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.5832168,-87.4841799,25929m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5507615!2d41.5776553!3s0x880e201d02adf91b:0x93da92e48deb4ae3!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!2b1!3e0	67.5	84
39	1	25	Sky	2015-08-13 15:56:59.451683	I-90 E and IN-49 S	64.8 miles	1 h 17 min	1 h 8 min - 1 h 34 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6928297,-87.5041775,15443m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5284818!2d41.7070226!3s0x8811d86e23b7d341:0xbab1a08fff96ef02!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	64.8	77
97	1	25	LS	2015-08-13 15:57:32.427297	IN-49 S	65.1 miles	1 h 53 min	1 h 43 min - 2 h 10 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.5742453,-87.4646816,36675m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.1281889!2d41.6009192!3s0x8811bdcc1ab17677:0xf13ac9e512ac3c5!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!1b1!3e0	65.1	113
93	1	26	BF_DR	2015-08-13 15:57:30.032946	I-94 E	46.3 miles	1 h 3 min	49 min - 1 h 27 min	https://www.google.com/maps/dir/41.8732155,-87.620362/41.5881995,-87.1836656/@41.7201379,-87.5506437,11z/data=!3m1!4b1!4m4!4m3!2m1!2b1!3e0	46.3	63
130	1	26	LS	2015-08-13 15:57:51.661892	US-41 S and I-94 E	42.0 miles	1 h 10 min	1 h 3 min - 1 h 26 min	https://www.google.com/maps/dir/41.8732155,-87.620362/41.5888116,-87.1833698/@41.7212402,-87.4514645,15391m/data=!3m1!1e3!4m16!4m15!1m10!3m4!1m2!1d-87.5412701!2d41.727406!3s0x880e27f8fa97f937:0xeeef6d39d159c414!3m4!1m2!1d-87.4944331!2d41.6613107!3s0x8811d928e2754e75:0xca22541b32f43c61!1m0!2m1!2b1!3e0	42.0	70
149	1	26	Sky	2015-08-13 15:58:02.067242	I-90 E	40.2 miles	49 min	42 min - 1 h 3 min	https://www.google.com/maps/dir/347+E+Balbo+Ave,+Chicago,+IL+60605/2269+Willowcreek+Rd,+Portage,+IN+46368/@41.7173741,-87.5847886,12.25z/data=!4m19!4m18!1m10!1m1!1s0x880e2b6048623d95:0x9371d5c7f43fe98e!2m2!1d-87.6173814!2d41.8732476!3m4!1m2!1d-87.5409594!2d41.7165016!3s0x880e27f56cfaf111:0xbeb41bf63c23b2f1!1m5!1m1!1s0x8811bfb53e3653db:0x35f704fa2c55febd!2m2!1d-87.1833516!2d41.5883304!3e0	40.2	49
24	2	20	BF_DR	2015-08-13 15:56:50.962932	I-94 E	33.9 miles	1 h 36 min	50 min - 2 h 41 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/41.658386,+-87.559140/@41.7192261,-87.9337555,83344m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5865888!2d41.6602948!3s0x880e26d22d30fddb:0x6573a2958d5735f8!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	33.9	96
82	2	20	Sky	2015-08-13 15:57:23.678406	I-94 E	32.6 miles	1 h 34 min	54 min - 2 h 25 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/41.658386,+-87.559140/@41.7849027,-87.6119851,21731m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5520522!2d41.7250842!3s0x880e27e590618dab:0xfce64340c09bf1be!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	32.6	94
111	2	20	TRI	2015-08-13 15:57:40.499505	I-294 S	53.5 miles	1 h 31 min	1 h - 2 h 9 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/41.658386,+-87.559140/@41.656215,-87.749129,25864m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.7769586!2d41.6805425!3s0x880e396019cd67ad:0xb52d4ac15e90eb0f!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0	53.5	91
84	2	21	TRI	2015-08-13 15:57:24.876901	I-294 S	59.8 miles	1 h 39 min	1 h 7 min - 2 h 20 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6801193,-87.8095375,30766m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.7837756!2d41.6915663!3s0x880e397a24e675f1:0xa5c02153a14634f5!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	59.8	99
131	2	21	BF_DR	2015-08-13 15:57:52.143891	I-94 E	51.3 miles	1 h 56 min	1 h 7 min - 3 h	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.706777,-87.5284905,25849m/am=t/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5984156!2d41.6932334!3s0x880e26f53d7849a5:0xd2a758ebbab7f3e5!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	51.3	116
136	2	21	Sky	2015-08-13 15:57:54.831666	I-94 E and I-90 E	47.1 miles	1 h 46 min	1 h 6 min - 2 h 39 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.7445949,-87.4564199,43496m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.544998!2d41.719227!3s0x880e27f40bfb3b1f:0xa2fe9b4360012d93!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0	47.1	106
91	2	22	TRI	2015-08-13 15:57:28.786591	I-294 S	61.9 miles	1 h 44 min	1 h 10 min - 2 h 25 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.647919,-87.6336449,18321m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.7256426!2d41.6525248!3s0x880e3c9b68682dfb:0x80929c4d2fe57b1f!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	61.9	104
143	2	22	BF_DR	2015-08-13 15:57:58.777257	I-94 E	53.4 miles	2 h 1 min	1 h 10 min - 3 h 6 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/41.6020866,-87.3300111/@41.6005653,-87.3174848,2287m/data=!3m1!1e3!4m14!4m13!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5920499!2d41.705421!3s0x880e265b77c47ec7:0xbfe801e794ffcf1e!1m0!3e0	53.4	121
153	2	22	Sky	2015-08-13 15:58:04.578361	I-94 E and I-90 E	44.9 miles	1 h 40 min	1 h 1 min - 2 h 34 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6999267,-87.5579962,9140m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5227667!2d41.6998033!3s0x8811d866eb7a6483:0x72ae1e638b7c2835!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0	44.9	100
8	2	23	BF_DR	2015-08-13 15:56:41.909535	I-94 E	39.9 miles	1 h 49 min	1 h 4 min - 3 h 1 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.66785,-87.6022936,30734m/data=!3m1!1e3!4m16!4m15!1m5!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0	39.9	109
13	2	23	TRI	2015-08-13 15:56:44.704986	I-294 S	56.5 miles	1 h 40 min	1 h 8 min - 2 h 20 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6285689,-87.7117855,25840m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.6817913!2d41.6075733!3s0x880e22c34027ea37:0xbe687a4fbcb4d467!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0	56.5	100
26	2	23	Sky	2015-08-13 15:56:52.027976	I-94 E and I-90 E	37.9 miles	1 h 37 min	57 min - 2 h 29 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7243547,-87.5461616,12942m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5415101!2d41.7168761!3s0x880e27f5aab3504d:0x98e573beb5c56887!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0	37.9	97
49	2	24	Sky	2015-08-13 15:57:05.316339	I-90 E	70.3 miles	2 h 10 min	1 h 30 min - 3 h 6 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.7405366,-87.5469004,18317m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.542718!2d41.7176885!3s0x880e27f40bfb3b1f:0xa2fe9b4360012d93!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	70.3	130
54	2	24	BF_DR	2015-08-13 15:57:08.072613	I-94 E	60.8 miles	2 h 17 min	1 h 26 min - 3 h 26 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.590884,-87.5704798,15419m/am=t/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5785576!2d41.6373308!3s0x880e20df8559ea03:0xf2d3524892d84c03!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!2m1!2b1!3e0	60.8	137
146	2	24	TRI	2015-08-13 15:58:00.321611	I-294 S	69.0 miles	1 h 59 min	1 h 26 min - 2 h 45 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6089977,-87.6729212,7703m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.6815961!2d41.6064098!3s0x880e22c34027ea37:0xbe687a4fbcb4d467!3m4!1m2!1d-87.5836765!2d41.5566289!3s0x880e1f0b70af4f9b:0x55c8c29d6dbd448c!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0	69.0	119
46	2	25	BF_DR	2015-08-13 15:57:03.191414	I-94 E	82.1 miles	2 h 27 min	1 h 37 min - 3 h 33 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.4632641,-87.4067821,43610m/data=!3m1!1e3!4m16!4m15!1m5!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!2b1!3e0	82.1	147
102	2	25	Sky	2015-08-13 15:57:34.995600	I-90 E	79.4 miles	2 h 14 min	1 h 34 min - 3 h 12 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6548483,-87.6799191,30806m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.5203988!2d41.6688432!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	79.4	134
115	2	25	TRI	2015-08-13 15:57:43.019824	I-294 S	90.6 miles	2 h 11 min	1 h 37 min - 2 h 55 min	https://www.google.com/maps/dir/8006+N+Milwaukee+Ave,+Niles,+IL+60714/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6381731,-87.7065934,2725m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fc8f86bf6216b:0x6e84f0a62d067bcb!2m2!1d-87.814749!2d42.026266!3m4!1m2!1d-87.6895525!2d41.6223236!3s0x880e232f2bccdb83:0x9608ca9f259b62be!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0	90.6	131
77	2	26	TRI	2015-08-13 15:57:20.824584	I-294 S and I-80 E	69.1 miles	1 h 48 min	1 h 14 min - 2 h 30 min	https://www.google.com/maps/dir/Niles,+IL+60714/41.5881995,-87.1836656/@41.6244224,-87.7029592,12.75z/data=!4m14!4m13!1m10!1m1!1s0x880fc8f84469e011:0xedc834dbc6e869eb!2m2!1d-87.8139926!2d42.026102!3m4!1m2!1d-87.6826427!2d41.6100655!3s0x880e22db8fead595:0xdabd79aa1379a502!1m0!3e0	69.1	108
109	2	26	BF_DR	2015-08-13 15:57:39.263777	I-94 E	60.4 miles	2 h 6 min	1 h 15 min - 3 h 10 min	https://www.google.com/maps/dir/Niles,+IL+60714/41.5881995,-87.1836656/@41.6797594,-87.5536742,12.75z/data=!4m14!4m13!1m10!1m1!1s0x880fc8f84469e011:0xedc834dbc6e869eb!2m2!1d-87.8139926!2d42.026102!3m4!1m2!1d-87.5962554!2d41.6685264!3s0x880e26c723dda8bf:0x5f993ad976201c08!1m0!3e0	60.4	126
